Code,Parties,Jurisdiction,Type,Commodity,Status,Application date,Grant date,Expiry date,Number of licence renewals,Mining area,Application number,Comments,Map_Refe,guidSHectarep,guidLice,PartName
TN2427,MINERAL EXPLORATION AND MINING (PTY) LIMITED ,Uganda,Retention licence,Tin,Application,25-Jul-16,,,,6.0000 square kilometer,TN2427,,"Western Region, Kisoro",7f03d37f-1df6-4a90-9ec4-fa6400187240,6a43f54f-8d7d-4f70-9ca4-84e5bf2a0937,Part 1
TN1713,MINERAL RESEARCH & MINES LIMITED (100%),Uganda,Exploration licence,Gold,Application,04-May-13,,,,271.5000 square kilometer,TN1713,,"Northern Region, Kaabong",f380973f-f20e-450c-8a3e-9d8d4507086c,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN1458,MINERAL RESEARCH & MINES LIMITED (100%),Uganda,Exploration licence,Base Metals,Application,08-Oct-12,,,,3.3401 square kilometer,TN1458,,"Central Region, Mubende",de6cb888-3d86-4923-b568-c30765419b95,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2509,MINES INDUSTRY SERVICES (U) LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,24-Feb-17,,,,72.7907 square kilometer,TN2509,,"Central Region, Mityana, Mubende",3adcae83-60af-4e73-a0dc-aa95acc2b704,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2249,MNIMAX ENTERPRISES LIMITED (100%),Uganda,Location license,Granite,Application,31-Aug-15,,,,0.1520 square kilometer,TN2249,,"Northern Region, Alebtong",0d8f48c7-d874-48d9-a70a-f533d24c24e3,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
TN2631,MK GOLD CORP (U) LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Silver",Application,09-Aug-17,,,,65.6971 square kilometer,TN2631,,"Western Region, Buhweju",9014e67c-9a88-4a7e-929f-846018a3a9fb,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1861,MOROTO ATEKER CEMENT COMPANY LTD,Uganda,Exploration licence,"Base Metals, Copper, Gold, Limestone , Marble, Rare Earth Elements",Active,27-Sep-18,11-Sep-18,11-Aug-21,0,219.4974 square kilometer,TN2947,,"Northern Region, Kaabong",f819f697-4dfd-4b0a-892c-f91d59463d50,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2779,MORTADA TRANSPOTERS (U) LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Application,20-Apr-18,,,,76.9125 square kilometer,TN2779,,"Northern Region, Moroto",e32c9374-0332-4f91-9b59-df147530da15,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1723,MORTADA TRANSPOTERS (U) LIMITED,Uganda,Exploration licence,"Base Metals, Gold",Active,15-Sep-17,22-Feb-18,21-Feb-21,0,9.0000 square kilometer,TN2635,,"Central Region, Nakaseke",74122159-e699-4e23-a641-8524293f477a,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2988,MOSES KATONGOLE,Uganda,Exploration licence,Silica/Glass Sand,Application,29-Nov-18,,,,7.6950 square kilometer,TN2988,,"Central Region, Masaka",c66d4139-224f-4e64-9a08-35d15f51278a,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2666,MOSES KATONGOLE,Uganda,Exploration licence,Silica/Glass Sand,Application,11-Jul-17,,,,7.6950 square kilometer,TN2666,,"Central Region, Masaka",732a6c72-73ca-455b-a567-9e49ebdc3636,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2322,MOTO GEOTHERMAL PROJECT LIMITED (100%),Uganda,Exploration licence,Geothermal,Application,02-Dec-16,,,,66.1409 square kilometer,TN2322,,"Western Region, Bundibugyo, Ntoroko",adcd38ea-847a-4996-b6a8-52863458c679,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1652,MOTO GEOTHERMAL PROJECT LIMITED (100%),Uganda,Exploration licence,Geothermal,Active,02-Apr-16,28-Apr-17,27-Apr-20,0,28.0600 square kilometer,TN2313,,"Western Region, Kanungu, Rukungiri",3ec588b3-f4cb-49a2-8712-b9162db7bde2,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2312,MOTO GEOTHERMAL PROJECT LIMITED (100%),Uganda,Exploration licence,Geothermal,Application,20-Jan-16,,,,57.9928 square kilometer,TN2312,,"Northern Region, Adjumani, Moyo",dde4d98b-4920-433c-af3c-e47f13810ace,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2524,MOUNTAIN GEAR GROUP LIMITED,Uganda,Exploration licence,"Gold, Graphite, Marble",Application,29-Mar-17,,,,226.8000 square kilometer,TN2524,,"Northern Region, Kaabong",379deb49-79ef-4e3b-87e6-3c5306e97ee6,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2704,MOUNTAIN GEAR GROUP LIMITED,Uganda,Location license,Gold,Application,01-Sep-18,,,,0.1598 square kilometer,TN2704,,"Western Region, Kyenjojo",188505eb-3e47-48b4-bac2-c0f29ea6a0fa,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
EL1618,MOUNTAIN GEAR GROUP LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Active,25-Dec-14,12-Aug-16,12-Jul-19,0,52.0168 square kilometer,TN2096,,"Northern Region, Abim, Kotido",733cc970-2ce3-4506-b464-bb6983ee4944,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2095,MOUNTAIN GEAR GROUP LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,25-Nov-14,,,,98.5110 square kilometer,TN2095,,"Northern Region, Kaabong",10fdff91-2051-4c55-970e-ee868e178802,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1617,MOUNTAIN GEAR GROUP LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Active,24-Nov-14,12-Aug-16,12-Jul-19,0,27.9090 square kilometer,TN2089,,"Northern Region, Nakapiripirit",684a90b9-962f-4679-91c7-47fe05f411a7,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2090,MOUNTAIN GEAR GROUP LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold",Application,24-Nov-14,,,,156.8000 square kilometer,TN2090,,"Northern Region, Abim, Napak",49b1f277-37a9-4b3d-a215-1f81a7e2ae2d,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2712,MUGUME GEORGE,Uganda,Mining lease,Dimension Stone,Application,25-Jan-18,,,,105.0000 Hectare,TN2712,,"Central Region, Mityana",c2c2faf3-3f13-4224-9b30-c795d99a52aa,ab102793-3b63-4ed5-89d8-01f5c7115285,Part 1
LL1806,MUGUME GEORGE,Uganda,Location license,Dimension Stone,Active,21-Jul-17,09-Oct-18,09-Sep-20,0,0.1591 square kilometer,TN2597,the license overlaps tn1692 tn1494,"Western Region, Rukungiri",b1b78137-2a3d-43ff-b7d4-e3545a70005f,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
LL1644,MUGUME GEORGE,Uganda,Location license,Dimension Stone,Active,03-Jun-17,31-Mar-17,30-Mar-19,0,0.1600 square kilometer,TN2511,,"Western Region, Hoima",c1386086-576d-42b6-b7e3-972a4e2f1c35,fc57208b-28e3-493e-ae8b-90e997577405,Part 1
EL1654,MUGUME GEORGE,Uganda,Exploration licence,"Dimension Stone, Granite",Active,13-Feb-17,06-May-17,06-Apr-20,0,1.0500 square kilometer,TN2506,,"Central Region, Mityana",390f6a1a-edd8-4c2d-a403-cabd2137fbfc,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
EL1625,MUKASA MUSA MORGAN,Uganda,Exploration licence,"Base Metals, Gold",Active,13-Jul-16,01-Oct-17,01-Sep-20,0,118.9500 square kilometer,TN2405,,"Central Region, Mubende",f1dbeb0f-54f8-4b95-a62e-4cad76c914c0,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2984,MUKONI FARMERS LIMITED,Uganda,Exploration licence,Industrial Minerals,Application,27-Nov-18,,,,4.1650 square kilometer,TN2984,,"Central Region, Mpigi",c926bda8-8de5-45c4-96a1-cb4edbc19e39,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2588,MUKONI FARMERS LIMITED,Uganda,Exploration licence,"Base Metals, Gold, Granite, Iron Ore, Rare Earth Elements",Application,07-Oct-17,,,,4.1650 square kilometer,TN2588,,"Central Region, Mpigi",90678bbb-811b-4aac-af98-fcd80dc97ca4,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
TN2232,MUKONI FARMERS LIMITED (100%),Uganda,Exploration licence,"Base Metals, Gold, Granite, Iron Ore, Rare Earth Elements",Application,30-Jul-15,,,,26.0000 square kilometer,TN2232,,"Central Region, Kalungu, Mpigi",dd92aca3-d69a-43a2-a62f-78c66d64840f,41b6661a-9653-4509-98f5-f5ffc27acb34,Part 1
